test_case,faulty,test_code
"org.mockitousage.matchers.AssertingMatchersTest.shouldUseCustomCharMatcher1",0,"@Test public void shouldUseCustomCharMatcher1(){mock.simpleMethod(new Article(12,""Fabulous article""));Article articleOnPage12=argThat(new ArgumentMatcher<Article>(){public boolean matches(Object argument){Article o=(Article)argument;assertEquals(12,o.getPageNumber());return true;}});verify(mock).simpleMethod(articleOnPage12);}"
"org.mockito.internal.util.MockUtilTest.shouldValidate",0,"@Test public void shouldValidate(){assertFalse(creationValidator.extraInterfacesValidated);assertFalse(creationValidator.typeValidated);mockUtil.createMock(IMethods.class,new ThreadSafeMockingProgress(),new MockSettingsImpl());assertTrue(creationValidator.extraInterfacesValidated);assertTrue(creationValidator.typeValidated);}"
"org.mockito.internal.util.MockUtilTest.shouldGetHandler",0,"@Test public void shouldGetHandler(){List mock=Mockito.mock(List.class);assertNotNull(mockUtil.getMockHandler(mock));}"
"org.mockito.internal.util.MockUtilTest.shouldScreamWhenEnhancedButNotAMockPassed",0,"@Test public void shouldScreamWhenEnhancedButNotAMockPassed(){Object o=Enhancer.create(ArrayList.class,NoOp.INSTANCE);try {mockUtil.getMockHandler(o);fail();}catch(NotAMockException e){}}"
"org.mockito.internal.util.MockUtilTest.shouldScreamWhenNotAMockPassed",0,"@Test(expected=NotAMockException.class)public void shouldScreamWhenNotAMockPassed(){mockUtil.getMockHandler("""");}"
"org.mockito.internal.util.MockUtilTest.shouldScreamWhenNullPassed",0,"@Test(expected=MockitoException.class)public void shouldScreamWhenNullPassed(){mockUtil.getMockHandler(null);}"
"org.mockito.internal.util.MockUtilTest.shouldValidateMock",0,"@Test public void shouldValidateMock(){assertFalse(mockUtil.isMock(""i mock a mock""));assertTrue(mockUtil.isMock(Mockito.mock(List.class)));}"
"org.mockitousage.stubbing.StubbingWithThrowablesTest.shouldStubWithThrowable",0,"@Test public void shouldStubWithThrowable()throws Exception {IllegalArgumentException expected=new IllegalArgumentException(""thrown by mock"");when(mock.add(""throw"")).thenThrow(expected);try {mock.add(""throw"");fail();}catch(IllegalArgumentException e){assertEquals(expected,e);}}"
"org.mockitousage.stubbing.StubbingWithThrowablesTest.shouldSetThrowableToVoidMethod",0,"@Test public void shouldSetThrowableToVoidMethod()throws Exception {IllegalArgumentException expected=new IllegalArgumentException(""thrown by mock"");stubVoid(mock).toThrow(expected).on().clear();try {mock.clear();fail();}catch(Exception e){assertEquals(expected,e);}}"
"org.mockitousage.stubbing.StubbingWithThrowablesTest.shouldLastStubbingVoidBeImportant",0,"@Test public void shouldLastStubbingVoidBeImportant()throws Exception {stubVoid(mock).toThrow(new ExceptionOne()).on().clear();stubVoid(mock).toThrow(new ExceptionTwo()).on().clear();try {mock.clear();fail();}catch(ExceptionTwo e){}}"
