test_case,faulty,test_code
"org.apache.commons.csv.CSVFormatTest.testImmutalibity",0,"@Test public void testImmutalibity(){CSVFormat format=new CSVFormat('!','!','!','!',true,true,""\r\n"",null);format.withDelimiter('?');format.withEncapsulator('?');format.withCommentStart('?');format.withLineSeparator(""?"");format.withEscape('?');format.withSurroundingSpacesIgnored(false);format.withEmptyLinesIgnored(false);assertEquals('!',format.getDelimiter());assertEquals('!',format.getEncapsulator());assertEquals('!',format.getCommentStart());assertEquals('!',format.getEscape());assertEquals(""\r\n"",format.getLineSeparator());assertTrue(format.isSurroundingSpacesIgnored());assertTrue(format.isEmptyLinesIgnored());}"
"org.apache.commons.csv.CSVFormatTest.testMutators",0,"@Test public void testMutators(){CSVFormat format=new CSVFormat('!','!','!','!',true,true,""\r\n"",null);assertEquals('?',format.withDelimiter('?').getDelimiter());assertEquals('?',format.withEncapsulator('?').getEncapsulator());assertEquals('?',format.withCommentStart('?').getCommentStart());assertEquals(""?"",format.withLineSeparator(""?"").getLineSeparator());assertEquals('?',format.withEscape('?').getEscape());assertFalse(format.withSurroundingSpacesIgnored(false).isSurroundingSpacesIgnored());assertFalse(format.withEmptyLinesIgnored(false).isEmptyLinesIgnored());}"
"org.apache.commons.csv.CSVFormatTest.testFormat",0,"@Test public void testFormat(){CSVFormat format=CSVFormat.DEFAULT;assertEquals("""",format.format());assertEquals(""a,b,c"",format.format(""a"",""b"",""c""));assertEquals(""\""x,y\"",z"",format.format(""x,y"",""z""));}"
"org.apache.commons.csv.CSVFormatTest.testValidation",0,"@Test public void testValidation(){CSVFormat format=CSVFormat.DEFAULT;try {format.withDelimiter('\n');fail();}catch(IllegalArgumentException e){}try {format.withEscape('\r');fail();}catch(IllegalArgumentException e){}try {format.withEncapsulator('\n');fail();}catch(IllegalArgumentException e){}try {format.withCommentStart('\r');fail();}catch(IllegalArgumentException e){}try {format.withDelimiter('!').withEscape('!').validate();fail();}catch(IllegalArgumentException e){}try {format.withDelimiter('!').withCommentStart('!').validate();fail();}catch(IllegalArgumentException e){}try {format.withEncapsulator('!').withCommentStart('!').validate();fail();}catch(IllegalArgumentException e){}format.withEncapsulator(CSVFormat.DISABLED).withCommentStart(CSVFormat.DISABLED).validate();try {format.withEscape('!').withCommentStart('!').validate();fail();}catch(IllegalArgumentException e){}format.withEscape(CSVFormat.DISABLED).withCommentStart(CSVFormat.DISABLED).validate();try {format.withEncapsulator('!').withDelimiter('!').validate();fail();}catch(IllegalArgumentException e){}}"
"org.apache.commons.csv.CSVFormatTest.testSerialization",0,"@SuppressWarnings(""boxing"")@Test public void testSerialization()throws Exception {ByteArrayOutputStream out=new ByteArrayOutputStream();ObjectOutputStream oos=new ObjectOutputStream(out);oos.writeObject(CSVFormat.DEFAULT);oos.flush();oos.close();ObjectInputStream in=new ObjectInputStream(new ByteArrayInputStream(out.toByteArray()));CSVFormat format=(CSVFormat)in.readObject();assertNotNull(format);assertEquals(""delimiter"",CSVFormat.DEFAULT.getDelimiter(),format.getDelimiter());assertEquals(""encapsulator"",CSVFormat.DEFAULT.getEncapsulator(),format.getEncapsulator());assertEquals(""comment start"",CSVFormat.DEFAULT.getCommentStart(),format.getCommentStart());assertEquals(""line separator"",CSVFormat.DEFAULT.getLineSeparator(),format.getLineSeparator());assertEquals(""escape"",CSVFormat.DEFAULT.getEscape(),format.getEscape());assertEquals(""trim"",CSVFormat.DEFAULT.isSurroundingSpacesIgnored(),format.isSurroundingSpacesIgnored());assertEquals(""empty lines"",CSVFormat.DEFAULT.isEmptyLinesIgnored(),format.isEmptyLinesIgnored());}"
"org.apache.commons.csv.ExtendedBufferedReaderTest.testEmptyInput",0,"@Test public void testEmptyInput()throws Exception {ExtendedBufferedReader br=getBufferedReader("""");assertEquals(ExtendedBufferedReader.END_OF_STREAM,br.read());assertEquals(ExtendedBufferedReader.END_OF_STREAM,br.lookAhead());assertEquals(ExtendedBufferedReader.END_OF_STREAM,br.readAgain());assertNull(br.readLine());assertEquals(0,br.read(new char[10],0,0));}"
"org.apache.commons.csv.ExtendedBufferedReaderTest.testReadLookahead1",0,"@Test public void testReadLookahead1(){}"
"org.apache.commons.csv.ExtendedBufferedReaderTest.testReadLookahead2",0,"@Test public void testReadLookahead2()throws Exception {char[]ref=new char[5];char[]res=new char[5];ExtendedBufferedReader br=getBufferedReader(""abcdefg"");ref[0]='a';ref[1]='b';ref[2]='c';assertEquals(3,br.read(res,0,3));assertArrayEquals(ref,res);assertEquals('c',br.readAgain());assertEquals('d',br.lookAhead());ref[4]='d';assertEquals(1,br.read(res,4,1));assertArrayEquals(ref,res);assertEquals('d',br.readAgain());}"
"org.apache.commons.csv.ExtendedBufferedReaderTest.testReadLine",0,"@Test public void testReadLine()throws Exception {ExtendedBufferedReader br=getBufferedReader("""");assertNull(br.readLine());br=getBufferedReader(""\n"");assertEquals("""",br.readLine());assertNull(br.readLine());br=getBufferedReader(""foo\n\nhello"");assertEquals(0,br.getLineNumber());assertEquals(""foo"",br.readLine());assertEquals(1,br.getLineNumber());assertEquals("""",br.readLine());assertEquals(2,br.getLineNumber());assertEquals(""hello"",br.readLine());assertEquals(3,br.getLineNumber());assertNull(br.readLine());assertEquals(3,br.getLineNumber());br=getBufferedReader(""foo\n\nhello"");assertEquals('f',br.read());assertEquals('o',br.lookAhead());assertEquals(""oo"",br.readLine());assertEquals(1,br.getLineNumber());assertEquals('\n',br.lookAhead());assertEquals("""",br.readLine());assertEquals(2,br.getLineNumber());assertEquals('h',br.lookAhead());assertEquals(""hello"",br.readLine());assertNull(br.readLine());assertEquals(3,br.getLineNumber());br=getBufferedReader(""foo\rbaar\r\nfoo"");assertEquals(""foo"",br.readLine());assertEquals('b',br.lookAhead());assertEquals(""baar"",br.readLine());assertEquals('f',br.lookAhead());assertEquals(""foo"",br.readLine());assertNull(br.readLine());}"
"org.apache.commons.csv.ExtendedBufferedReaderTest.testReadChar",0,"@Test public void testReadChar(){}"
